"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3367","The Department of Animal Health under the Ministry of Agriculture and Rural Development has warned of a high risk o… https://t.co/4dlSoSokE6",FALSE,0,NA,2018-02-27 06:16:35,TRUE,NA,"968369252288876549",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AseanPanorama",0,FALSE,FALSE,NA,NA
"3368","Medicinske afsnit dobbelt ramt: Influenza og omgangssyge på samme tid https://t.co/bktnALFPhp",FALSE,0,NA,2018-02-27 06:14:05,FALSE,NA,"968368622518366208",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","hsfodk",0,FALSE,FALSE,NA,NA
"3369","Ventenni italiani spiegano come il porno ha cambiato il modo in cui fanno sesso https://t.co/JaMbtqg6Ba #thexeon",FALSE,0,NA,2018-02-27 06:08:13,FALSE,NA,"968367144567279616",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","thexeon",0,FALSE,FALSE,NA,NA
"3370","APHA UK Animal Health and Plant Agency : Avian influenza (bird flu) in Europe and in the UK #health… https://t.co/W14qA9XANz",FALSE,0,NA,2018-02-27 06:05:38,TRUE,NA,"968366495976886272",NA,"<a href=""https://commun.it"" rel=""nofollow"">Commun.it Intelligence</a>","PatsitKobkaew",0,FALSE,FALSE,NA,NA
"3371","Michelle Higuera A cuatro se incrementó el número de decesos a causa de Influenza en Sonora en lo que va del año,... https://t.co/62z0YrrpXi",FALSE,0,NA,2018-02-27 06:04:48,FALSE,NA,"968366284567179265",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Entornohmo",0,FALSE,FALSE,NA,NA
"3372","Fonte:
https://t.co/8zD3VI9ksX https://t.co/yguMXHecCM",FALSE,0,NA,2018-02-27 05:58:16,FALSE,NA,"968364640794275840",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","GdrUnplugged",0,FALSE,FALSE,NA,NA
"3373","Have your kids stay healthy this #flu season, thanks to the new Childhood Influenza Vaccination Program announced t… https://t.co/YxpdSIB2U5",FALSE,3,NA,2018-02-27 05:58:05,TRUE,NA,"968364595982340096",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PKelly_ACTCHO",3,FALSE,FALSE,NA,NA
"3374","Goodmorning Roleplayers - Influenza (creato con Spreaker): https://t.co/gmjAp1c9Xl tramite @YouTube",FALSE,0,NA,2018-02-27 05:56:08,FALSE,NA,"968364103415812097",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","GdrUnplugged",0,FALSE,FALSE,NA,NA
"3375","Ho caricato un nuovo episodio, ""Goodmorning Roleplayers - Influenza"", su #spreaker https://t.co/cwojd1z7ef",FALSE,0,NA,2018-02-27 05:54:55,FALSE,NA,"968363797059694593",NA,"<a href=""http://www.spreaker.com"" rel=""nofollow"">Spreaker</a>","GdrUnplugged",0,FALSE,FALSE,NA,NA
"3376","Flu shot doesn't cause influenza epidemic https://t.co/Srwhf1mlTi",FALSE,0,NA,2018-02-27 05:50:03,FALSE,NA,"968362575531569152",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","learning_2_save",0,FALSE,FALSE,NA,NA
"3377","@CupcakKe_rapper queen of sick crowds... influenza is SHOOK.",FALSE,1,"CupcakKe_rapper",2018-02-27 05:49:55,FALSE,"968362407453233152","968362541276647424","736039267","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TrinityKinsler",3,FALSE,FALSE,NA,NA
"3378","@Bqr1CU8D4gw7vzQ <U+B514><U+C5E0><U+C774> <U+B2EB><U+D600><U+C788><U+B294><U+AC70> <U+AC19><U+C740><U+B370>...<U+D639><U+C2DC> <U+BBF8><U+CE74><U+B791> <U+C288> <U+CE58><U+BE44> <U+D310><U+B9E4><U+B418><U+C5C8><U+B098><U+C694>?<ed><U+00A0><U+00BD><ed><U+00B8><U+0080>",FALSE,0,"Bqr1CU8D4gw7vzQ",2018-02-27 05:48:30,FALSE,"968338900577062914","968362183380828162","968336132160147456","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Half_influenza",0,FALSE,FALSE,NA,NA
"3379","@Kakcikbuddyz Anak menakan aku kak cik , kena influenza A pulak dahhh",FALSE,0,"Kakcikbuddyz",2018-02-27 05:43:55,FALSE,"968357250623574017","968361031109050373","1862419356","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ariff_farhan14",0,FALSE,FALSE,NA,NA
"3380","@toggleModal @DamianKastbauer Middleware will save us from Damien's warm, globally rampant influenza and snazzy Hawaiian shirts.",FALSE,1,"toggleModal",2018-02-27 05:43:34,FALSE,"968356714469830656","968360943129387008","1302649411","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","minuskelvin",0,FALSE,FALSE,NA,NA
"3381","social media influenza https://t.co/NYOPxQ9FOR",FALSE,3,NA,2018-02-27 05:41:58,FALSE,NA,"968360541411561472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","justmvrs",0,FALSE,FALSE,NA,NA
"3382","@ShoutCap Saat terakhir kali menderita influenza. dengan bantuan obat tentunya!",FALSE,0,"ShoutCap",2018-02-27 05:33:05,FALSE,"968357527464198144","968358304467554304","537408477","<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","yogiherdy",0,FALSE,FALSE,NA,NA
"3383","@Venice_Homeless The influenza virus mutates to survive using our bodies (immune systems). HIV does the same. Nothi… https://t.co/xspwZqMVQL",FALSE,0,"Venice_Homeless",2018-02-27 05:32:13,TRUE,"968357019475423234","968358084983820289","3223549248","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SSamNelson44",0,FALSE,FALSE,NA,NA
"3384","#pilatesallesei 
""No panic ok panic"". Se proprio proprio volessimo riassumere la giornata di ieri in due parole.
(L… https://t.co/YUalbH1lcO",FALSE,21,NA,2018-02-27 05:24:05,TRUE,NA,"968356039023316992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vestitaacipolla",5,FALSE,FALSE,NA,NA
"3385","Van 86 Casos Positivos de Influenza https://t.co/ulHm4D9qxc https://t.co/Bh9SPb9EUI",FALSE,0,NA,2018-02-27 05:20:04,FALSE,NA,"968355027541725184",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","CVNZACATECAS",0,FALSE,FALSE,NA,NA
"3386","@disinformatico Ma irrilevante, Ecclestone non ha più alcuna influenza sulle decisioni in #F1",FALSE,0,"disinformatico",2018-02-27 05:19:24,FALSE,"968252346730995712","968354859148771328","7111232","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","saetta1971",0,FALSE,FALSE,NA,NA
"3387","@minuskelvin @DamianKastbauer I blame everything on Damian, Aaron. Global warming? Check. Rampant influenza? Yep. Classy shirts? Done.",FALSE,3,"minuskelvin",2018-02-27 05:17:10,FALSE,"968353591445639169","968354300140417025","391841377","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","soundeziner",0,FALSE,FALSE,NA,NA
"3388","Me puse las vacunas de neumococo e influenza y me hicieron reacción, el universo no está de mi lado el día de hoy.",FALSE,1,NA,2018-02-27 05:15:53,FALSE,NA,"968353976797327360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mariferabella",0,FALSE,FALSE,NA,NA
